epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7145,1.32129,2.20514,1.5284,0.34391,0.28142,0.28698,0.18309,1.80173,41.7692,2.76274,0.0686932,0.00164773,0.00164773
2,25.6559,1.35012,1.58546,1.53599,0.26414,0.08706,0.16669,0.11749,1.57212,3.4504,1.82742,0.0369161,0.00320394,0.00320394
3,37.3771,1.32241,1.5032,1.50214,0.23767,0.58383,0.23746,0.15451,1.12715,10.8473,1.41976,0.00502784,0.00464906,0.00464906
4,49.0019,1.25059,1.38023,1.44397,0.5608,0.44556,0.49075,0.32851,1.49302,3.15405,1.70812,0.0045001,0.0045001,0.0045001
5,60.6946,1.21769,1.31349,1.4221,0.68756,0.70132,0.66726,0.47571,1.08534,4.23522,1.31008,0.00433347,0.00433347,0.00433347
6,72.3451,1.1597,1.2274,1.38156,0.79765,0.71579,0.79991,0.59648,0.95927,2.05149,1.223,0.00416683,0.00416683,0.00416683
7,84.2238,1.15456,1.17451,1.35117,0.834,0.82589,0.86196,0.63437,1.09469,1.04826,1.3077,0.0040002,0.0040002,0.0040002
8,95.816,1.11969,1.10765,1.3313,0.86143,0.81749,0.86962,0.65733,1.07214,1.04135,1.28355,0.00383357,0.00383357,0.00383357
9,107.459,1.08357,1.04845,1.30794,0.88437,0.81154,0.87155,0.67681,0.97444,0.91206,1.1985,0.00366693,0.00366693,0.00366693
10,119.187,1.07663,1.01736,1.29284,0.89519,0.85087,0.89663,0.70118,1.00128,0.72072,1.19886,0.0035003,0.0035003,0.0035003
11,130.874,1.05101,0.98708,1.27443,0.86477,0.84417,0.86798,0.6891,0.94821,0.79336,1.18466,0.00333367,0.00333367,0.00333367
12,142.677,1.06675,1.01247,1.30379,0.8715,0.88335,0.90413,0.71462,0.93747,0.77638,1.18858,0.00316703,0.00316703,0.00316703
13,154.357,1.04085,0.99236,1.28793,0.88292,0.81714,0.87888,0.68728,1.03751,0.72492,1.21452,0.0030004,0.0030004,0.0030004
14,166.147,1.00847,0.93713,1.24253,0.88849,0.85952,0.90273,0.72002,0.9546,0.70863,1.16525,0.00283377,0.00283377,0.00283377
15,177.839,0.99235,0.89532,1.23129,0.90867,0.88264,0.9158,0.7363,0.89889,0.62324,1.13808,0.00266713,0.00266713,0.00266713
16,189.569,1.00462,0.89063,1.24867,0.89421,0.86849,0.90996,0.74424,0.83867,0.69822,1.10755,0.0025005,0.0025005,0.0025005
17,201.591,0.97537,0.86478,1.23938,0.86066,0.89468,0.9107,0.70913,0.96189,0.66873,1.15977,0.00233387,0.00233387,0.00233387
18,213.213,0.96435,0.86652,1.2097,0.9382,0.82328,0.90073,0.72372,0.91911,0.63627,1.13944,0.00216723,0.00216723,0.00216723
19,224.833,0.95565,0.81779,1.21094,0.90257,0.86659,0.91343,0.72055,0.95515,0.63478,1.16501,0.0020006,0.0020006,0.0020006
20,236.616,0.95041,0.8242,1.20299,0.91375,0.88364,0.91749,0.73155,0.91264,0.65318,1.1294,0.00183397,0.00183397,0.00183397
21,249.605,0.89467,0.71968,1.16449,0.89259,0.86357,0.91319,0.76291,0.81657,0.57973,1.09702,0.00166733,0.00166733,0.00166733
22,261.216,0.88089,0.68722,1.14923,0.9022,0.86482,0.88833,0.70338,0.93178,0.60888,1.14404,0.0015007,0.0015007,0.0015007
23,272.728,0.8556,0.64403,1.13315,0.87403,0.90063,0.91952,0.73688,0.89336,0.56398,1.13251,0.00133407,0.00133407,0.00133407
24,284.362,0.84842,0.64113,1.12206,0.92248,0.85948,0.90348,0.6997,1.0014,0.59178,1.1766,0.00116743,0.00116743,0.00116743
25,295.974,0.83252,0.6122,1.10906,0.89821,0.8754,0.90856,0.73462,0.90766,0.55914,1.12814,0.0010008,0.0010008,0.0010008
26,307.63,0.82299,0.60192,1.10202,0.89997,0.88802,0.91943,0.75199,0.8754,0.52771,1.10522,0.000834167,0.000834167,0.000834167
27,319.702,0.81873,0.5829,1.0929,0.89864,0.87521,0.92441,0.72283,0.97649,0.54,1.15947,0.000667533,0.000667533,0.000667533
28,331.275,0.78968,0.55812,1.08428,0.88736,0.8951,0.91665,0.7267,0.92649,0.52691,1.12587,0.0005009,0.0005009,0.0005009
29,342.972,0.77538,0.55636,1.07415,0.87773,0.89852,0.9255,0.75028,0.89319,0.51459,1.11453,0.000334267,0.000334267,0.000334267
30,354.591,0.77599,0.53585,1.06999,0.8821,0.90659,0.92208,0.75917,0.8303,0.49469,1.08113,0.000167633,0.000167633,0.000167633
