epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.82883,1.24986,0.69584,1.07187,0.92982,0.83072,0.90308,0.57196,1.45017,0.76352,1.16796,0.0772,0.0012,0.0012
2,9.28341,1.27983,0.75461,1.0767,0.8775,0.83084,0.90182,0.55318,1.49644,0.88765,1.20304,0.0533888,0.00238876,0.00238876
3,13.4519,1.27719,0.77261,1.09095,0.91655,0.82629,0.90276,0.58961,1.37061,0.85413,1.13421,0.029515,0.00351504,0.00351504
4,17.6106,1.26087,0.81133,1.10746,0.91727,0.79937,0.87421,0.53483,1.39802,0.87803,1.14478,0.00557882,0.00457882,0.00457882
5,21.7811,1.25898,0.80937,1.08095,0.89659,0.81537,0.91649,0.51854,1.43812,1.7136,1.17208,0.0045001,0.0045001,0.0045001
6,25.9911,1.23458,0.7665,1.07893,0.85186,0.84639,0.92282,0.52947,1.41851,1.4471,1.16676,0.00437512,0.00437512,0.00437512
7,30.1598,1.2522,0.78687,1.08496,0.90628,0.84878,0.91927,0.55123,1.44806,1.38542,1.20576,0.00425015,0.00425015,0.00425015
8,34.4299,1.27593,0.75607,1.08173,0.68558,0.80656,0.71962,0.46818,1.27285,2.06956,1.10229,0.00412518,0.00412518,0.00412518
9,38.5526,1.23466,0.73654,1.08564,0.91291,0.81505,0.88617,0.61098,1.23495,0.82958,1.08514,0.0040002,0.0040002,0.0040002
10,42.6706,1.25719,0.73641,1.0851,0.95849,0.79624,0.89122,0.58429,1.35713,0.79206,1.1397,0.00387522,0.00387522,0.00387522
11,47.1922,1.23414,0.70333,1.06988,0.89681,0.84458,0.90531,0.58793,1.35231,0.89885,1.13299,0.00375025,0.00375025,0.00375025
12,51.4333,1.24938,0.71232,1.06013,0.96,0.82759,0.90651,0.61001,1.31455,0.70404,1.09706,0.00362528,0.00362528,0.00362528
13,55.5549,1.1788,0.71441,1.04889,0.98206,0.68652,0.83969,0.56895,1.32134,0.95311,1.10121,0.0035003,0.0035003,0.0035003
14,59.7487,1.17703,0.66497,1.05429,0.95602,0.81781,0.90837,0.59086,1.34656,0.75334,1.1129,0.00337533,0.00337533,0.00337533
15,63.8804,1.15717,0.66511,1.04253,0.97222,0.76803,0.87688,0.59606,1.28361,0.81526,1.08655,0.00325035,0.00325035,0.00325035
16,68.044,1.16998,0.64647,1.05669,0.93221,0.8621,0.91527,0.62323,1.29672,0.69601,1.09283,0.00312538,0.00312538,0.00312538
17,72.2001,1.15323,0.62912,1.03554,0.93032,0.87891,0.92859,0.60165,1.36827,0.74873,1.1267,0.0030004,0.0030004,0.0030004
18,76.6273,1.1942,0.66121,1.07805,0.91069,0.86207,0.93183,0.62994,1.21728,0.76224,1.06376,0.00287543,0.00287543,0.00287543
19,80.9158,1.1779,0.67401,1.04088,0.96211,0.87549,0.94343,0.61162,1.33243,0.66263,1.10774,0.00275045,0.00275045,0.00275045
20,85.383,1.15099,0.62256,1.05122,0.94966,0.88705,0.93882,0.62895,1.30946,0.6388,1.10175,0.00262547,0.00262547,0.00262547
21,89.5917,1.18028,0.65057,1.04934,0.94547,0.86968,0.92851,0.6179,1.29914,0.65164,1.09812,0.0025005,0.0025005,0.0025005
22,93.9378,1.16393,0.61822,1.03679,0.98805,0.77743,0.88669,0.58627,1.34206,0.73866,1.1285,0.00237552,0.00237552,0.00237552
23,98.0606,1.19087,0.61674,1.05515,0.95286,0.88715,0.93566,0.61823,1.30514,0.63415,1.10625,0.00225055,0.00225055,0.00225055
24,102.207,1.16321,0.62012,1.03951,0.93884,0.90282,0.94551,0.62436,1.25825,0.62923,1.07297,0.00212558,0.00212558,0.00212558
25,106.313,1.16733,0.59553,1.05119,0.98141,0.82759,0.91048,0.6036,1.32502,0.65717,1.1087,0.0020006,0.0020006,0.0020006
26,110.429,1.16559,0.63607,1.03047,0.95891,0.86834,0.9371,0.6269,1.24598,0.64261,1.07658,0.00187562,0.00187562,0.00187562
27,114.53,1.11992,0.61517,1.0182,0.95623,0.89028,0.9389,0.62642,1.33141,0.64382,1.10765,0.00175065,0.00175065,0.00175065
28,118.85,1.16417,0.59241,1.04556,0.95957,0.87774,0.93771,0.62972,1.25714,0.59997,1.06793,0.00162567,0.00162567,0.00162567
29,123.019,1.14386,0.59334,1.02615,0.96831,0.86207,0.92716,0.62571,1.24449,0.60172,1.07309,0.0015007,0.0015007,0.0015007
30,127.377,1.13601,0.5694,1.02269,0.95254,0.88088,0.93587,0.61357,1.31771,0.60607,1.1047,0.00137573,0.00137573,0.00137573
31,133.274,1.12244,0.58463,1.02423,0.97987,0.87147,0.93417,0.63587,1.21965,0.60772,1.06747,0.00125075,0.00125075,0.00125075
32,137.562,1.10381,0.54956,1.03603,0.97287,0.89942,0.95086,0.6355,1.26872,0.62568,1.07847,0.00112578,0.00112578,0.00112578
33,141.985,1.09911,0.54258,1.01565,0.93871,0.91223,0.94753,0.64612,1.24638,0.57105,1.06626,0.0010008,0.0010008,0.0010008
34,146.234,1.08464,0.51859,1.0291,0.96821,0.89969,0.95298,0.63517,1.26789,0.5932,1.07866,0.000875825,0.000875825,0.000875825
35,150.423,1.11124,0.52742,1.00647,0.96092,0.89655,0.94785,0.64142,1.26981,0.58205,1.08275,0.00075085,0.00075085,0.00075085
36,154.612,1.06571,0.51493,1.01036,0.95983,0.89894,0.94698,0.65521,1.21623,0.57105,1.05777,0.000625875,0.000625875,0.000625875
37,158.823,1.09964,0.51558,1.0101,0.95979,0.89801,0.95242,0.63262,1.28558,0.59064,1.09026,0.0005009,0.0005009,0.0005009
38,162.974,1.07116,0.50474,1.00008,0.96004,0.90373,0.95121,0.63816,1.24832,0.57503,1.07407,0.000375925,0.000375925,0.000375925
39,167.135,1.09492,0.50568,1.01407,0.96321,0.90287,0.95143,0.65656,1.19717,0.54673,1.05096,0.00025095,0.00025095,0.00025095
40,171.648,1.07067,0.50728,1.01237,0.96339,0.90743,0.95442,0.65226,1.21844,0.54926,1.05914,0.000125975,0.000125975,0.000125975
