epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8142,0.85405,0.65498,1.13572,0.87031,0.89198,0.92428,0.74674,0.89397,0.56813,1.15916,0.0686932,0.00164773,0.00164773
2,25.3655,0.90735,0.7131,1.17712,0.90704,0.86889,0.91978,0.74121,0.90987,0.604,1.13089,0.0369161,0.00320394,0.00320394
3,37.0304,0.93859,0.75535,1.19112,0.89816,0.86024,0.90922,0.72443,0.9655,0.64595,1.17353,0.00502784,0.00464906,0.00464906
4,48.6887,0.92481,0.74578,1.17276,0.89374,0.83162,0.88465,0.69314,0.93365,0.70655,1.1704,0.0045001,0.0045001,0.0045001
5,60.3101,0.93231,0.74957,1.18675,0.8754,0.87671,0.91767,0.72165,0.95853,0.66853,1.17625,0.00433347,0.00433347,0.00433347
6,71.8581,0.91365,0.71936,1.17633,0.87816,0.88151,0.92161,0.73427,0.96182,0.5993,1.1575,0.00416683,0.00416683,0.00416683
7,83.3802,0.92045,0.71006,1.17025,0.86297,0.86492,0.90262,0.70391,0.94849,0.6036,1.14672,0.0040002,0.0040002,0.0040002
8,94.9596,0.90841,0.70581,1.17027,0.87933,0.86675,0.90349,0.70366,0.98835,0.64682,1.18169,0.00383357,0.00383357,0.00383357
9,106.567,0.88586,0.68508,1.1591,0.89701,0.88681,0.92515,0.73858,0.92472,0.57431,1.16832,0.00366693,0.00366693,0.00366693
10,118.226,0.9024,0.69953,1.16378,0.91207,0.86746,0.9168,0.70794,1.00493,0.62463,1.17475,0.0035003,0.0035003,0.0035003
11,129.791,0.88369,0.68107,1.15384,0.93818,0.82905,0.91148,0.7217,0.94462,0.60021,1.15651,0.00333367,0.00333367,0.00333367
12,141.468,0.8767,0.69383,1.16966,0.87787,0.87341,0.91229,0.73663,0.88318,0.59162,1.13378,0.00316703,0.00316703,0.00316703
13,153.443,0.862,0.66174,1.15717,0.88321,0.86278,0.90011,0.71642,0.92633,0.58058,1.13917,0.0030004,0.0030004,0.0030004
14,165.104,0.85296,0.65103,1.12649,0.91696,0.87341,0.90378,0.72026,0.92638,0.57533,1.12978,0.00283377,0.00283377,0.00283377
15,176.786,0.85336,0.64202,1.13621,0.88534,0.88333,0.91603,0.75945,0.8334,0.54812,1.09031,0.00266713,0.00266713,0.00266713
16,188.416,0.86475,0.64107,1.14247,0.89662,0.87611,0.92319,0.75363,0.85462,0.55429,1.10144,0.0025005,0.0025005,0.0025005
17,199.956,0.8433,0.63004,1.13819,0.88099,0.87881,0.90013,0.72071,0.91971,0.58687,1.13844,0.00233387,0.00233387,0.00233387
18,211.589,0.83833,0.61416,1.12206,0.92602,0.84222,0.92217,0.75146,0.84337,0.54636,1.10253,0.00216723,0.00216723,0.00216723
19,223.209,0.82244,0.59442,1.11782,0.87087,0.89198,0.92198,0.72952,0.9257,0.58322,1.137,0.0020006,0.0020006,0.0020006
20,234.958,0.82003,0.5965,1.11094,0.9119,0.88405,0.91688,0.7439,0.86682,0.53258,1.08795,0.00183397,0.00183397,0.00183397
21,248.071,0.77188,0.50081,1.06241,0.88606,0.8674,0.9051,0.75026,0.8196,0.53966,1.08251,0.00166733,0.00166733,0.00166733
22,259.912,0.76027,0.49057,1.05328,0.87103,0.88802,0.91581,0.73465,0.87606,0.5342,1.1172,0.0015007,0.0015007,0.0015007
23,272.412,0.74421,0.47544,1.04722,0.90757,0.86456,0.91575,0.7495,0.87422,0.50391,1.12066,0.00133407,0.00133407,0.00133407
24,284.112,0.74183,0.46153,1.04366,0.89255,0.86989,0.91168,0.71578,0.97733,0.55072,1.18189,0.00116743,0.00116743,0.00116743
25,313.389,0.73135,0.44887,1.0353,0.89931,0.88532,0.92033,0.72562,0.96395,0.53063,1.18129,0.0010008,0.0010008,0.0010008
26,345.229,0.72428,0.45031,1.03218,0.88716,0.90199,0.92484,0.74436,0.8838,0.50414,1.10849,0.000834167,0.000834167,0.000834167
27,377.013,0.7138,0.42984,1.02396,0.88945,0.88502,0.92091,0.73668,0.90366,0.52243,1.1342,0.000667533,0.000667533,0.000667533
28,408.672,0.70387,0.42782,1.02566,0.89001,0.88532,0.92002,0.74577,0.87254,0.50966,1.10577,0.0005009,0.0005009,0.0005009
29,440.379,0.6973,0.42779,1.01644,0.90334,0.87426,0.92914,0.76422,0.83465,0.49501,1.09656,0.000334267,0.000334267,0.000334267
30,472.169,0.69927,0.41235,1.01641,0.88175,0.90532,0.92878,0.76379,0.83728,0.49243,1.09423,0.000167633,0.000167633,0.000167633
