epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.495,1.374,6.31235,0.98734,0.00077,0.02162,0.00088,0.00064,1.27728,3.54033,0.97119,0.066911,0.000166276,0.000166276
2,298.052,1.32464,4.87323,0.95308,0.00148,0.05522,0.00206,0.00157,1.22741,3.01445,0.92946,0.033741,0.000329647,0.000329647
3,441.914,1.28372,4.29749,0.93273,0.63685,0.00554,0.00313,0.00244,1.20026,2.67573,0.9164,0.000567781,0.000489717,0.000489717
4,588.71,1.24958,3.95415,0.92459,0.69889,0.00754,0.00438,0.00342,1.16474,2.47399,0.9094,0.00048515,0.00048515,0.00048515
5,735.198,1.22055,3.75641,0.91264,0.72619,0.00811,0.00679,0.00538,1.14648,2.37415,0.90651,0.0004802,0.0004802,0.0004802
6,883.329,1.20902,3.63258,0.91276,0.70245,0.01243,0.00797,0.00628,1.13325,2.29716,0.90439,0.00047525,0.00047525,0.00047525
7,1029.21,1.19003,3.54436,0.90583,0.72662,0.01202,0.00963,0.00754,1.12782,2.27855,0.89991,0.0004703,0.0004703,0.0004703
8,1177.24,1.17346,3.47294,0.90465,0.70506,0.02108,0.01131,0.00872,1.12009,2.19132,0.90083,0.00046535,0.00046535,0.00046535
9,1322.65,1.17072,3.35871,0.90379,0.76682,0.01853,0.01382,0.01093,1.10723,2.19535,0.89781,0.0004604,0.0004604,0.0004604
10,1469.26,1.15478,3.30143,0.9027,0.72019,0.0235,0.01641,0.01303,1.09694,2.10971,0.89836,0.00045545,0.00045545,0.00045545
11,1615.78,1.14801,3.25113,0.89917,0.71088,0.02852,0.01794,0.01404,1.09401,2.07573,0.89827,0.0004505,0.0004505,0.0004505
12,1762.97,1.14961,3.19051,0.90186,0.72053,0.02984,0.02061,0.01614,1.09535,2.03372,0.89777,0.00044555,0.00044555,0.00044555
13,1909.11,1.14311,3.14836,0.89961,0.70773,0.03226,0.0225,0.01765,1.07597,1.99042,0.89524,0.0004406,0.0004406,0.0004406
14,2055.45,1.13249,3.09472,0.89744,0.67524,0.03906,0.02434,0.01896,1.08018,1.9731,0.89715,0.00043565,0.00043565,0.00043565
15,2200.53,1.13439,3.0698,0.89767,0.69627,0.03595,0.0266,0.02072,1.0778,1.97993,0.89698,0.0004307,0.0004307,0.0004307
16,2345.84,1.12477,3.01539,0.89475,0.63144,0.04471,0.02878,0.02276,1.08178,1.95953,0.89703,0.00042575,0.00042575,0.00042575
17,2490.81,1.12341,2.99917,0.89709,0.65586,0.04522,0.03069,0.0241,1.06837,1.93087,0.89276,0.0004208,0.0004208,0.0004208
18,2636.73,1.12345,2.95427,0.89654,0.61788,0.04954,0.03266,0.02572,1.0694,1.90278,0.89594,0.00041585,0.00041585,0.00041585
19,2781.64,1.10625,2.92444,0.89137,0.60694,0.05108,0.03339,0.02606,1.06384,1.90548,0.89375,0.0004109,0.0004109,0.0004109
20,2927.33,1.11238,2.88667,0.89397,0.60324,0.05546,0.03654,0.02877,1.05775,1.86903,0.89318,0.00040595,0.00040595,0.00040595
21,3072.18,1.1131,2.85156,0.8955,0.58145,0.05491,0.03564,0.02804,1.06195,1.87673,0.89396,0.000401,0.000401,0.000401
22,3217.49,1.11421,2.84152,0.89545,0.56272,0.06071,0.03909,0.03103,1.05227,1.84407,0.89311,0.00039605,0.00039605,0.00039605
23,3361.85,1.10371,2.8348,0.89252,0.55182,0.06417,0.0415,0.03283,1.0629,1.85222,0.89244,0.0003911,0.0003911,0.0003911
24,3506.62,1.10289,2.80613,0.89116,0.55468,0.063,0.04217,0.03325,1.05116,1.826,0.8903,0.00038615,0.00038615,0.00038615
